date,landing_page,page_title,views,users,entrances,engaged_sessions,average_engagement_time_seconds,form_submit_events,phone_click_events,whatsapp_click_events
2026-01-23,/services/law-firm-management-system,Law Firm Management System,41,23,19,13,132,0,0,0
2026-01-23,/portfolio,Portfolio,34,24,12,7,105,0,0,0
2026-01-23,/blog/website-cost-nepal,Website Cost in Nepal Guide,56,42,23,15,125,0,0,0
2026-01-23,/contact,Contact,19,12,6,2,69,0,0,0
2026-01-23,/about,About Digi Agent,12,6,4,1,67,0,0,0
2026-01-24,/,Home,93,64,33,17,97,0,0,0
2026-01-24,/services/business-website,Business Website Development,66,37,24,16,66,0,0,0
2026-01-24,/services/ecommerce-store,Ecommerce Store Development,51,38,24,15,119,0,0,0
2026-01-24,/services/seo-digital-marketing,SEO & Digital Marketing,58,34,17,11,68,0,0,0
2026-01-24,/services/school-management-system,School Management System,25,17,10,6,62,0,0,0
2026-01-24,/services/law-firm-management-system,Law Firm Management System,22,13,9,6,72,0,0,0
2026-01-24,/portfolio,Portfolio,35,25,10,7,65,0,0,0
2026-01-24,/blog/website-cost-nepal,Website Cost in Nepal Guide,26,17,8,6,88,0,0,0
2026-01-24,/contact,Contact,14,8,6,3,20,0,0,0
2026-01-24,/about,About Digi Agent,9,5,3,1,67,0,0,0
2026-01-25,/,Home,77,46,39,25,70,0,0,0
2026-01-25,/services/business-website,Business Website Development,39,29,13,7,50,0,0,0
2026-01-25,/services/ecommerce-store,Ecommerce Store Development,28,19,13,8,20,0,0,0
2026-01-25,/services/seo-digital-marketing,SEO & Digital Marketing,59,45,26,15,75,0,0,0
2026-01-25,/services/school-management-system,School Management System,20,11,6,4,74,0,0,0
2026-01-25,/services/law-firm-management-system,Law Firm Management System,23,16,8,4,119,0,0,0
2026-01-25,/portfolio,Portfolio,23,12,10,7,93,0,0,0
2026-01-25,/blog/website-cost-nepal,Website Cost in Nepal Guide,28,21,8,5,89,0,0,0
2026-01-25,/contact,Contact,10,7,4,2,48,0,0,0
2026-01-25,/about,About Digi Agent,10,6,4,1,103,0,0,0
2026-01-26,/,Home,137,92,44,22,108,0,0,0
2026-01-26,/services/business-website,Business Website Development,70,51,30,20,44,0,0,1
2026-01-26,/services/ecommerce-store,Ecommerce Store Development,67,42,24,16,110,0,0,0
2026-01-26,/services/seo-digital-marketing,SEO & Digital Marketing,57,42,27,18,83,0,0,0
2026-01-26,/services/school-management-system,School Management System,43,30,17,11,71,0,0,0
2026-01-26,/services/law-firm-management-system,Law Firm Management System,34,18,11,6,100,0,0,0
2026-01-26,/portfolio,Portfolio,41,23,12,8,77,0,0,0
2026-01-26,/blog/website-cost-nepal,Website Cost in Nepal Guide,31,18,10,7,128,0,0,0
2026-01-26,/contact,Contact,20,11,5,2,81,0,0,0
2026-01-26,/about,About Digi Agent,15,10,7,3,90,0,0,0
2026-01-27,/,Home,182,134,78,48,36,1,0,1
2026-01-27,/services/business-website,Business Website Development,75,42,28,19,80,0,0,0
2026-01-27,/services/ecommerce-store,Ecommerce Store Development,56,32,20,13,105,0,0,0
2026-01-27,/services/seo-digital-marketing,SEO & Digital Marketing,50,32,17,10,77,0,0,0
2026-01-27,/services/school-management-system,School Management System,51,29,20,14,95,0,0,0
2026-01-27,/services/law-firm-management-system,Law Firm Management System,38,26,13,9,111,0,0,0
2026-01-27,/portfolio,Portfolio,40,27,20,13,83,0,0,0
2026-01-27,/blog/website-cost-nepal,Website Cost in Nepal Guide,27,16,8,5,159,0,0,0
2026-01-27,/contact,Contact,25,19,10,5,86,0,0,0
2026-01-27,/about,About Digi Agent,10,7,4,2,60,0,0,0
2026-01-28,/,Home,82,55,41,25,82,0,0,0
2026-01-28,/services/business-website,Business Website Development,105,73,51,35,114,1,0,1
2026-01-28,/services/ecommerce-store,Ecommerce Store Development,88,61,39,23,66,1,0,1
2026-01-28,/services/seo-digital-marketing,SEO & Digital Marketing,100,77,39,26,107,1,0,0
2026-01-28,/services/school-management-system,School Management System,39,21,19,12,77,0,0,0
2026-01-28,/services/law-firm-management-system,Law Firm Management System,29,21,10,6,108,0,0,0
2026-01-28,/portfolio,Portfolio,54,39,27,18,100,0,0,0
2026-01-28,/blog/website-cost-nepal,Website Cost in Nepal Guide,32,19,11,8,120,0,0,0
2026-01-28,/contact,Contact,32,18,14,7,77,0,0,0
2026-01-28,/about,About Digi Agent,7,5,3,1,75,0,0,0
2026-01-29,/,Home,88,50,36,18,117,0,0,0
2026-01-29,/services/business-website,Business Website Development,67,51,24,13,101,0,0,0
2026-01-29,/services/ecommerce-store,Ecommerce Store Development,92,63,45,27,84,1,0,1
2026-01-29,/services/seo-digital-marketing,SEO & Digital Marketing,54,29,21,11,101,0,0,0
2026-01-29,/services/school-management-system,School Management System,47,27,24,16,109,0,0,0
2026-01-29,/services/law-firm-management-system,Law Firm Management System,30,23,11,7,103,0,0,0
2026-01-29,/portfolio,Portfolio,55,42,20,14,104,0,0,0
2026-01-29,/blog/website-cost-nepal,Website Cost in Nepal Guide,40,30,18,13,86,0,0,0
2026-01-29,/contact,Contact,25,19,11,6,43,0,0,0
2026-01-29,/about,About Digi Agent,10,6,3,1,73,0,0,0
2026-01-30,/,Home,122,78,61,35,74,0,0,1
2026-01-30,/services/business-website,Business Website Development,112,71,49,33,102,1,0,1
2026-01-30,/services/ecommerce-store,Ecommerce Store Development,91,66,35,24,89,0,0,0
2026-01-30,/services/seo-digital-marketing,SEO & Digital Marketing,40,22,12,8,102,0,0,0
2026-01-30,/services/school-management-system,School Management System,35,22,10,6,83,0,0,0
2026-01-30,/services/law-firm-management-system,Law Firm Management System,36,21,18,11,126,0,0,0
2026-01-30,/portfolio,Portfolio,55,38,22,16,92,0,0,0
2026-01-30,/blog/website-cost-nepal,Website Cost in Nepal Guide,35,22,17,11,107,0,0,0
2026-01-30,/contact,Contact,14,8,5,2,87,0,0,0
2026-01-30,/about,About Digi Agent,13,8,4,1,89,0,0,0
2026-01-31,/,Home,123,69,46,29,131,0,0,0
2026-01-31,/services/business-website,Business Website Development,69,38,25,15,87,0,0,0
2026-01-31,/services/ecommerce-store,Ecommerce Store Development,37,28,12,7,103,0,0,0
2026-01-31,/services/seo-digital-marketing,SEO & Digital Marketing,41,23,14,9,86,0,0,0
2026-01-31,/services/school-management-system,School Management System,35,23,14,9,29,0,0,0
2026-01-31,/services/law-firm-management-system,Law Firm Management System,19,13,9,5,103,0,0,0
2026-01-31,/portfolio,Portfolio,43,28,13,8,137,0,0,0
2026-01-31,/blog/website-cost-nepal,Website Cost in Nepal Guide,43,33,17,13,103,0,0,0
2026-01-31,/contact,Contact,14,8,4,2,77,0,0,0
2026-01-31,/about,About Digi Agent,10,7,5,2,55,0,0,0
2026-02-01,/,Home,105,65,52,33,81,0,0,0
2026-02-01,/services/business-website,Business Website Development,76,44,31,19,86,0,0,0
2026-02-01,/services/ecommerce-store,Ecommerce Store Development,69,44,31,19,85,0,0,0
2026-02-01,/services/seo-digital-marketing,SEO & Digital Marketing,74,54,23,13,98,0,0,0
2026-02-01,/services/school-management-system,School Management System,40,27,11,7,127,0,0,0
2026-02-01,/services/law-firm-management-system,Law Firm Management System,29,18,9,5,91,0,0,0
2026-02-01,/portfolio,Portfolio,34,19,11,7,143,0,0,0
2026-02-01,/blog/website-cost-nepal,Website Cost in Nepal Guide,27,17,13,9,124,0,0,0
2026-02-01,/contact,Contact,16,10,5,3,73,0,0,0
2026-02-01,/about,About Digi Agent,8,5,3,1,72,0,0,0
2026-02-02,/,Home,151,98,47,27,98,0,0,0
2026-02-02,/services/business-website,Business Website Development,96,58,30,18,112,0,0,0
2026-02-02,/services/ecommerce-store,Ecommerce Store Development,62,40,21,15,65,0,0,0
2026-02-02,/services/seo-digital-marketing,SEO & Digital Marketing,48,33,21,12,79,0,0,0
2026-02-02,/services/school-management-system,School Management System,43,24,12,7,116,0,0,0
2026-02-02,/services/law-firm-management-system,Law Firm Management System,26,19,8,5,100,0,0,0
2026-02-02,/portfolio,Portfolio,41,31,13,8,74,0,0,0
2026-02-02,/blog/website-cost-nepal,Website Cost in Nepal Guide,31,18,9,6,121,0,0,0
2026-02-02,/contact,Contact,31,23,12,5,53,0,0,0
2026-02-02,/about,About Digi Agent,13,8,4,1,55,0,0,0
2026-02-03,/,Home,90,61,33,18,52,0,0,0
2026-02-03,/services/business-website,Business Website Development,69,48,30,18,116,0,0,0
2026-02-03,/services/ecommerce-store,Ecommerce Store Development,55,41,18,12,62,0,0,0
2026-02-03,/services/seo-digital-marketing,SEO & Digital Marketing,58,40,29,15,81,0,0,0
2026-02-03,/services/school-management-system,School Management System,40,24,17,11,63,0,0,0
2026-02-03,/services/law-firm-management-system,Law Firm Management System,28,17,9,6,78,0,0,0
2026-02-03,/portfolio,Portfolio,65,36,22,13,98,0,0,0
2026-02-03,/blog/website-cost-nepal,Website Cost in Nepal Guide,31,21,10,7,71,0,0,0
2026-02-03,/contact,Contact,12,9,3,1,76,0,0,0
2026-02-03,/about,About Digi Agent,11,6,3,1,75,0,0,0
2026-02-04,/,Home,114,82,57,30,76,0,0,1
2026-02-04,/services/business-website,Business Website Development,102,64,44,29,100,0,0,0
2026-02-04,/services/ecommerce-store,Ecommerce Store Development,73,56,28,19,60,0,0,1
2026-02-04,/services/seo-digital-marketing,SEO & Digital Marketing,68,41,33,18,77,0,0,0
2026-02-04,/services/school-management-system,School Management System,32,22,9,6,82,0,0,0
2026-02-04,/services/law-firm-management-system,Law Firm Management System,28,15,10,6,96,0,0,0
2026-02-04,/portfolio,Portfolio,50,31,18,13,121,0,0,0
2026-02-04,/blog/website-cost-nepal,Website Cost in Nepal Guide,37,25,17,12,106,0,0,0
2026-02-04,/contact,Contact,28,15,8,4,51,0,0,0
2026-02-04,/about,About Digi Agent,14,7,5,2,59,0,0,0
2026-02-05,/,Home,162,111,72,37,70,1,0,0
2026-02-05,/services/business-website,Business Website Development,151,100,65,41,58,1,0,1
2026-02-05,/services/ecommerce-store,Ecommerce Store Development,73,43,37,25,77,0,0,1
2026-02-05,/services/seo-digital-marketing,SEO & Digital Marketing,60,44,22,13,105,0,0,0
2026-02-05,/services/school-management-system,School Management System,35,21,15,8,76,0,0,0
2026-02-05,/services/law-firm-management-system,Law Firm Management System,27,20,7,4,100,0,0,0
