date,query,page,country,device,clicks,impressions,ctr,average_position
2026-01-06,wordpress website design nepal,/services/business-website,Nepal,desktop,0,17,0.0,17.8
2026-01-07,website design company in nepal,/services/business-website,Nepal,desktop,3,145,0.0207,8.0
2026-01-07,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,2,128,0.0156,8.4
2026-01-07,school management software nepal,/services/school-management-system,Nepal,desktop,2,123,0.0163,9.1
2026-01-07,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,1,122,0.0082,11.3
2026-01-07,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,3,192,0.0156,10.0
2026-01-07,business website package nepal,/services/business-website,Nepal,desktop,1,125,0.008,8.5
2026-01-07,online store development nepal,/services/ecommerce-store,Nepal,desktop,1,82,0.0122,11.0
2026-01-07,best IT company in kathmandu,/,Nepal,mobile,0,62,0.0,14.3
2026-01-07,portfolio website design nepal,/portfolio,Nepal,desktop,0,63,0.0,15.4
2026-01-07,crm software nepal,/services/business-website,Nepal,mobile,0,12,0.0,16.5
2026-01-07,wordpress website design nepal,/services/business-website,Nepal,mobile,0,9,0.0,16.9
2026-01-08,website design company in nepal,/services/business-website,Nepal,mobile,2,140,0.0143,7.6
2026-01-08,ecommerce website development nepal,/services/ecommerce-store,Nepal,desktop,4,189,0.0212,7.6
2026-01-08,school management software nepal,/services/school-management-system,Nepal,desktop,2,180,0.0111,10.4
2026-01-08,law firm management system nepal,/services/law-firm-management-system,Nepal,tablet,0,66,0.0,10.9
2026-01-08,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,desktop,1,123,0.0081,10.6
2026-01-08,business website package nepal,/services/business-website,Nepal,mobile,2,107,0.0187,7.8
2026-01-08,online store development nepal,/services/ecommerce-store,Nepal,desktop,1,93,0.0108,11.8
2026-01-08,best IT company in kathmandu,/,Nepal,mobile,1,83,0.012,11.5
2026-01-08,portfolio website design nepal,/portfolio,Nepal,desktop,1,61,0.0164,13.2
2026-01-08,crm software nepal,/services/business-website,Nepal,tablet,0,10,0.0,16.9
2026-01-08,wordpress website design nepal,/services/business-website,Nepal,mobile,0,11,0.0,16.4
2026-01-09,website design company in nepal,/services/business-website,Nepal,tablet,3,189,0.0159,9.1
2026-01-09,ecommerce website development nepal,/services/ecommerce-store,Nepal,desktop,4,213,0.0188,5.6
2026-01-09,school management software nepal,/services/school-management-system,Nepal,mobile,2,106,0.0189,8.5
2026-01-09,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,1,105,0.0095,12.3
2026-01-09,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,desktop,2,120,0.0167,9.2
2026-01-09,business website package nepal,/services/business-website,Nepal,mobile,1,97,0.0103,8.9
2026-01-09,online store development nepal,/services/ecommerce-store,Nepal,mobile,1,99,0.0101,10.7
2026-01-09,best IT company in kathmandu,/,Nepal,mobile,1,77,0.013,11.4
2026-01-09,portfolio website design nepal,/portfolio,Nepal,mobile,0,68,0.0,12.8
2026-01-09,crm software nepal,/services/business-website,Nepal,mobile,0,13,0.0,18.5
2026-01-09,wordpress website design nepal,/services/business-website,Nepal,mobile,0,16,0.0,15.3
2026-01-10,website design company in nepal,/services/business-website,Nepal,tablet,2,167,0.012,8.6
2026-01-10,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,3,174,0.0172,7.3
2026-01-10,school management software nepal,/services/school-management-system,Nepal,mobile,1,85,0.0118,9.1
2026-01-10,law firm management system nepal,/services/law-firm-management-system,Nepal,desktop,0,49,0.0,13.8
2026-01-10,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,desktop,2,147,0.0136,10.5
2026-01-10,business website package nepal,/services/business-website,Nepal,mobile,1,58,0.0172,9.1
2026-01-10,online store development nepal,/services/ecommerce-store,Nepal,desktop,1,92,0.0109,12.4
2026-01-10,best IT company in kathmandu,/,Nepal,desktop,0,69,0.0,12.5
2026-01-10,portfolio website design nepal,/portfolio,Nepal,mobile,0,32,0.0,13.2
2026-01-10,crm software nepal,/services/business-website,Nepal,tablet,0,13,0.0,18.6
2026-01-10,wordpress website design nepal,/services/business-website,Nepal,desktop,0,12,0.0,18.3
2026-01-11,website design company in nepal,/services/business-website,Nepal,mobile,3,110,0.0273,6.8
2026-01-11,ecommerce website development nepal,/services/ecommerce-store,Nepal,desktop,2,113,0.0177,6.3
2026-01-11,school management software nepal,/services/school-management-system,Nepal,tablet,2,130,0.0154,10.1
2026-01-11,law firm management system nepal,/services/law-firm-management-system,Nepal,desktop,0,84,0.0,12.2
2026-01-11,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,3,154,0.0195,8.0
2026-01-11,business website package nepal,/services/business-website,Nepal,mobile,1,98,0.0102,9.6
2026-01-11,online store development nepal,/services/ecommerce-store,Nepal,desktop,1,92,0.0109,11.0
2026-01-11,best IT company in kathmandu,/,Nepal,desktop,0,54,0.0,13.3
2026-01-11,portfolio website design nepal,/portfolio,Nepal,mobile,0,57,0.0,16.1
2026-01-11,crm software nepal,/services/business-website,Nepal,mobile,0,11,0.0,17.3
2026-01-11,wordpress website design nepal,/services/business-website,Nepal,desktop,0,9,0.0,15.9
2026-01-12,website design company in nepal,/services/business-website,Nepal,desktop,5,260,0.0192,9.7
2026-01-12,ecommerce website development nepal,/services/ecommerce-store,Nepal,desktop,6,181,0.0331,6.4
2026-01-12,school management software nepal,/services/school-management-system,Nepal,desktop,1,126,0.0079,10.6
2026-01-12,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,1,95,0.0105,13.4
2026-01-12,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,3,162,0.0185,7.6
2026-01-12,business website package nepal,/services/business-website,Nepal,desktop,1,82,0.0122,8.5
2026-01-12,online store development nepal,/services/ecommerce-store,Nepal,desktop,1,71,0.0141,11.5
2026-01-12,best IT company in kathmandu,/,Nepal,tablet,1,70,0.0143,11.8
2026-01-12,portfolio website design nepal,/portfolio,Nepal,mobile,0,51,0.0,12.8
2026-01-12,crm software nepal,/services/business-website,Nepal,mobile,0,14,0.0,18.5
2026-01-12,wordpress website design nepal,/services/business-website,Nepal,desktop,0,16,0.0,15.3
2026-01-13,website design company in nepal,/services/business-website,Nepal,mobile,6,276,0.0217,7.1
2026-01-13,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,4,219,0.0183,8.1
2026-01-13,school management software nepal,/services/school-management-system,Nepal,desktop,1,160,0.0063,10.3
2026-01-13,law firm management system nepal,/services/law-firm-management-system,Nepal,desktop,1,105,0.0095,12.4
2026-01-13,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,desktop,2,197,0.0102,10.4
2026-01-13,business website package nepal,/services/business-website,Nepal,desktop,1,124,0.0081,8.8
2026-01-13,online store development nepal,/services/ecommerce-store,Nepal,mobile,1,120,0.0083,10.0
2026-01-13,best IT company in kathmandu,/,Nepal,tablet,1,87,0.0115,14.1
2026-01-13,portfolio website design nepal,/portfolio,Nepal,desktop,0,55,0.0,14.6
2026-01-13,crm software nepal,/services/business-website,Nepal,desktop,0,10,0.0,18.9
2026-01-13,wordpress website design nepal,/services/business-website,Nepal,mobile,0,10,0.0,17.2
2026-01-14,website design company in nepal,/services/business-website,Nepal,tablet,3,175,0.0171,6.6
2026-01-14,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,5,218,0.0229,6.7
2026-01-14,school management software nepal,/services/school-management-system,Nepal,desktop,1,157,0.0064,10.9
2026-01-14,law firm management system nepal,/services/law-firm-management-system,Nepal,desktop,1,85,0.0118,13.5
2026-01-14,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,desktop,4,222,0.018,8.2
2026-01-14,business website package nepal,/services/business-website,Nepal,desktop,2,145,0.0138,9.0
2026-01-14,online store development nepal,/services/ecommerce-store,Nepal,mobile,1,73,0.0137,9.5
2026-01-14,best IT company in kathmandu,/,Nepal,mobile,1,85,0.0118,14.5
2026-01-14,portfolio website design nepal,/portfolio,Nepal,mobile,0,59,0.0,15.1
2026-01-14,crm software nepal,/services/business-website,Nepal,mobile,0,16,0.0,19.0
2026-01-14,wordpress website design nepal,/services/business-website,Nepal,desktop,0,13,0.0,17.0
2026-01-15,website design company in nepal,/services/business-website,Nepal,mobile,2,169,0.0118,6.6
2026-01-15,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,3,146,0.0205,5.8
2026-01-15,school management software nepal,/services/school-management-system,Nepal,mobile,2,180,0.0111,9.1
2026-01-15,law firm management system nepal,/services/law-firm-management-system,Nepal,tablet,1,89,0.0112,11.6
2026-01-15,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,2,166,0.012,10.0
2026-01-15,business website package nepal,/services/business-website,Nepal,desktop,3,148,0.0203,7.2
2026-01-15,online store development nepal,/services/ecommerce-store,Nepal,mobile,1,97,0.0103,10.0
2026-01-15,best IT company in kathmandu,/,Nepal,desktop,1,86,0.0116,11.5
2026-01-15,portfolio website design nepal,/portfolio,Nepal,desktop,0,67,0.0,14.2
2026-01-15,crm software nepal,/services/business-website,Nepal,tablet,0,13,0.0,19.0
2026-01-15,wordpress website design nepal,/services/business-website,Nepal,desktop,0,13,0.0,17.3
2026-01-16,website design company in nepal,/services/business-website,Nepal,mobile,3,203,0.0148,7.8
2026-01-16,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,4,126,0.0317,6.5
2026-01-16,school management software nepal,/services/school-management-system,Nepal,desktop,2,208,0.0096,9.8
2026-01-16,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,1,121,0.0083,11.2
2026-01-16,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,2,211,0.0095,7.6
2026-01-16,business website package nepal,/services/business-website,Nepal,desktop,2,146,0.0137,10.1
2026-01-16,online store development nepal,/services/ecommerce-store,Nepal,desktop,1,112,0.0089,9.7
2026-01-16,best IT company in kathmandu,/,Nepal,mobile,0,57,0.0,13.0
2026-01-16,portfolio website design nepal,/portfolio,Nepal,desktop,0,47,0.0,14.3
2026-01-16,crm software nepal,/services/business-website,Nepal,mobile,0,16,0.0,16.3
2026-01-16,wordpress website design nepal,/services/business-website,Nepal,mobile,0,9,0.0,15.5
2026-01-17,website design company in nepal,/services/business-website,Nepal,desktop,2,142,0.0141,7.9
2026-01-17,ecommerce website development nepal,/services/ecommerce-store,Nepal,desktop,2,135,0.0148,7.4
2026-01-17,school management software nepal,/services/school-management-system,Nepal,mobile,2,136,0.0147,9.2
2026-01-17,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,0,86,0.0,12.6
2026-01-17,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,2,143,0.014,10.7
2026-01-17,business website package nepal,/services/business-website,Nepal,mobile,1,113,0.0088,10.5
2026-01-17,online store development nepal,/services/ecommerce-store,Nepal,desktop,1,67,0.0149,11.1
2026-01-17,best IT company in kathmandu,/,Nepal,mobile,0,41,0.0,13.1
2026-01-17,portfolio website design nepal,/portfolio,Nepal,mobile,0,43,0.0,13.2
2026-01-17,crm software nepal,/services/business-website,Nepal,mobile,0,14,0.0,16.2
2026-01-17,wordpress website design nepal,/services/business-website,Nepal,tablet,0,8,0.0,17.9
2026-01-18,website design company in nepal,/services/business-website,Nepal,mobile,3,174,0.0172,8.7
2026-01-18,ecommerce website development nepal,/services/ecommerce-store,Nepal,tablet,7,177,0.0395,5.7
2026-01-18,school management software nepal,/services/school-management-system,Nepal,desktop,1,80,0.0125,10.2
2026-01-18,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,0,66,0.0,10.5
2026-01-18,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,2,143,0.014,9.7
2026-01-18,business website package nepal,/services/business-website,Nepal,mobile,1,71,0.0141,7.6
2026-01-18,online store development nepal,/services/ecommerce-store,Nepal,desktop,1,94,0.0106,10.5
2026-01-18,best IT company in kathmandu,/,Nepal,mobile,0,68,0.0,11.5
2026-01-18,portfolio website design nepal,/portfolio,Nepal,tablet,0,33,0.0,15.7
2026-01-18,crm software nepal,/services/business-website,Nepal,mobile,0,8,0.0,16.7
2026-01-18,wordpress website design nepal,/services/business-website,Nepal,mobile,0,13,0.0,17.3
2026-01-19,website design company in nepal,/services/business-website,Nepal,mobile,3,251,0.012,7.4
2026-01-19,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,7,186,0.0376,5.5
2026-01-19,school management software nepal,/services/school-management-system,Nepal,mobile,1,131,0.0076,10.6
2026-01-19,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,1,128,0.0078,13.4
2026-01-19,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,desktop,5,212,0.0236,7.4
2026-01-19,business website package nepal,/services/business-website,Nepal,desktop,1,122,0.0082,9.1
2026-01-19,online store development nepal,/services/ecommerce-store,Nepal,desktop,1,90,0.0111,12.2
2026-01-19,best IT company in kathmandu,/,Nepal,desktop,0,53,0.0,13.5
2026-01-19,portfolio website design nepal,/portfolio,Nepal,desktop,0,75,0.0,13.3
2026-01-19,crm software nepal,/services/business-website,Nepal,desktop,0,10,0.0,17.2
2026-01-19,wordpress website design nepal,/services/business-website,Nepal,mobile,0,13,0.0,15.4
2026-01-20,website design company in nepal,/services/business-website,Nepal,mobile,2,162,0.0123,10.1
2026-01-20,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,5,172,0.0291,6.1
2026-01-20,school management software nepal,/services/school-management-system,Nepal,tablet,3,210,0.0143,8.7
2026-01-20,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,1,103,0.0097,10.8
2026-01-20,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,desktop,4,205,0.0195,10.5
2026-01-20,business website package nepal,/services/business-website,Nepal,mobile,2,152,0.0132,8.9
2026-01-20,online store development nepal,/services/ecommerce-store,Nepal,mobile,1,87,0.0115,12.4
2026-01-20,best IT company in kathmandu,/,Nepal,mobile,1,96,0.0104,13.4
2026-01-20,portfolio website design nepal,/portfolio,Nepal,mobile,0,74,0.0,13.7
2026-01-20,crm software nepal,/services/business-website,Nepal,desktop,0,10,0.0,18.7
2026-01-20,wordpress website design nepal,/services/business-website,Nepal,desktop,0,15,0.0,15.6
2026-01-21,website design company in nepal,/services/business-website,Nepal,mobile,4,289,0.0138,8.3
2026-01-21,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,2,141,0.0142,7.2
2026-01-21,school management software nepal,/services/school-management-system,Nepal,mobile,2,109,0.0183,10.9
2026-01-21,law firm management system nepal,/services/law-firm-management-system,Nepal,desktop,1,69,0.0145,11.0
2026-01-21,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,3,151,0.0199,9.3
2026-01-21,business website package nepal,/services/business-website,Nepal,desktop,2,118,0.0169,8.7
2026-01-21,online store development nepal,/services/ecommerce-store,Nepal,mobile,1,101,0.0099,11.0
2026-01-21,best IT company in kathmandu,/,Nepal,tablet,1,74,0.0135,11.1
2026-01-21,portfolio website design nepal,/portfolio,Nepal,mobile,0,73,0.0,12.9
2026-01-21,crm software nepal,/services/business-website,Nepal,mobile,0,14,0.0,16.3
2026-01-21,wordpress website design nepal,/services/business-website,Nepal,mobile,0,17,0.0,18.0
2026-01-22,website design company in nepal,/services/business-website,Nepal,mobile,3,172,0.0174,9.6
2026-01-22,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,4,155,0.0258,8.8
2026-01-22,school management software nepal,/services/school-management-system,Nepal,desktop,3,174,0.0172,11.5
2026-01-22,law firm management system nepal,/services/law-firm-management-system,Nepal,desktop,1,116,0.0086,11.0
2026-01-22,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,2,147,0.0136,7.4
2026-01-22,business website package nepal,/services/business-website,Nepal,mobile,1,87,0.0115,9.5
2026-01-22,online store development nepal,/services/ecommerce-store,Nepal,mobile,1,99,0.0101,11.6
2026-01-22,best IT company in kathmandu,/,Nepal,desktop,0,57,0.0,14.1
2026-01-22,portfolio website design nepal,/portfolio,Nepal,mobile,0,58,0.0,13.0
2026-01-22,crm software nepal,/services/business-website,Nepal,desktop,0,19,0.0,17.2
2026-01-22,wordpress website design nepal,/services/business-website,Nepal,desktop,0,13,0.0,15.3
2026-01-23,website design company in nepal,/services/business-website,Nepal,mobile,5,271,0.0185,9.1
2026-01-23,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,4,164,0.0244,7.1
2026-01-23,school management software nepal,/services/school-management-system,Nepal,mobile,3,173,0.0173,10.6
2026-01-23,law firm management system nepal,/services/law-firm-management-system,Nepal,desktop,1,117,0.0085,12.3
2026-01-23,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,1,124,0.0081,10.3
2026-01-23,business website package nepal,/services/business-website,Nepal,mobile,1,116,0.0086,10.3
2026-01-23,online store development nepal,/services/ecommerce-store,Nepal,desktop,0,69,0.0,10.2
2026-01-23,best IT company in kathmandu,/,Nepal,desktop,1,60,0.0167,11.8
2026-01-23,portfolio website design nepal,/portfolio,Nepal,desktop,0,62,0.0,15.5
2026-01-23,crm software nepal,/services/business-website,Nepal,mobile,0,12,0.0,18.7
2026-01-23,wordpress website design nepal,/services/business-website,Nepal,mobile,0,16,0.0,17.4
2026-01-24,website design company in nepal,/services/business-website,Nepal,desktop,4,188,0.0213,7.0
2026-01-24,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,3,158,0.019,7.6
2026-01-24,school management software nepal,/services/school-management-system,Nepal,mobile,2,110,0.0182,8.3
2026-01-24,law firm management system nepal,/services/law-firm-management-system,Nepal,desktop,0,67,0.0,10.7
2026-01-24,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,2,147,0.0136,9.8
2026-01-24,business website package nepal,/services/business-website,Nepal,mobile,2,98,0.0204,7.2
2026-01-24,online store development nepal,/services/ecommerce-store,Nepal,mobile,1,92,0.0109,12.6
2026-01-24,best IT company in kathmandu,/,Nepal,mobile,0,56,0.0,11.0
2026-01-24,portfolio website design nepal,/portfolio,Nepal,mobile,0,59,0.0,13.5
2026-01-24,crm software nepal,/services/business-website,Nepal,mobile,0,13,0.0,18.3
2026-01-24,wordpress website design nepal,/services/business-website,Nepal,mobile,0,9,0.0,16.9
2026-01-25,website design company in nepal,/services/business-website,Nepal,mobile,1,124,0.0081,6.7
2026-01-25,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,3,137,0.0219,7.6
2026-01-25,school management software nepal,/services/school-management-system,Nepal,mobile,2,148,0.0135,10.4
2026-01-25,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,0,75,0.0,12.6
2026-01-25,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,3,151,0.0199,7.2
2026-01-25,business website package nepal,/services/business-website,Nepal,mobile,1,66,0.0152,6.9
2026-01-25,online store development nepal,/services/ecommerce-store,Nepal,mobile,0,97,0.0,12.4
2026-01-25,best IT company in kathmandu,/,Nepal,desktop,0,51,0.0,12.7
2026-01-25,portfolio website design nepal,/portfolio,Nepal,mobile,0,34,0.0,12.6
2026-01-25,crm software nepal,/services/business-website,Nepal,mobile,0,11,0.0,18.5
2026-01-25,wordpress website design nepal,/services/business-website,Nepal,mobile,0,11,0.0,15.3
2026-01-26,website design company in nepal,/services/business-website,Nepal,mobile,3,167,0.018,7.2
2026-01-26,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,6,189,0.0317,7.5
2026-01-26,school management software nepal,/services/school-management-system,Nepal,desktop,2,163,0.0123,10.6
2026-01-26,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,1,79,0.0127,10.6
2026-01-26,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,3,181,0.0166,10.3
2026-01-26,business website package nepal,/services/business-website,Nepal,mobile,1,124,0.0081,9.5
2026-01-26,online store development nepal,/services/ecommerce-store,Nepal,desktop,1,100,0.01,11.7
2026-01-26,best IT company in kathmandu,/,Nepal,desktop,0,79,0.0,13.9
2026-01-26,portfolio website design nepal,/portfolio,Nepal,mobile,0,75,0.0,15.1
2026-01-26,crm software nepal,/services/business-website,Nepal,mobile,0,11,0.0,18.2
2026-01-26,wordpress website design nepal,/services/business-website,Nepal,mobile,0,12,0.0,17.9
2026-01-27,website design company in nepal,/services/business-website,Nepal,desktop,3,234,0.0128,8.8
2026-01-27,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,3,140,0.0214,7.9
2026-01-27,school management software nepal,/services/school-management-system,Nepal,mobile,5,215,0.0233,8.4
2026-01-27,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,1,80,0.0125,11.9
2026-01-27,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,3,182,0.0165,10.2
2026-01-27,business website package nepal,/services/business-website,Nepal,desktop,2,139,0.0144,10.2
2026-01-27,online store development nepal,/services/ecommerce-store,Nepal,desktop,1,109,0.0092,12.0
2026-01-27,best IT company in kathmandu,/,Nepal,desktop,0,60,0.0,13.6
2026-01-27,portfolio website design nepal,/portfolio,Nepal,mobile,0,46,0.0,14.2
2026-01-27,crm software nepal,/services/business-website,Nepal,mobile,0,14,0.0,17.6
2026-01-27,wordpress website design nepal,/services/business-website,Nepal,mobile,0,11,0.0,15.4
2026-01-28,website design company in nepal,/services/business-website,Nepal,desktop,2,152,0.0132,8.5
2026-01-28,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,3,225,0.0133,8.2
2026-01-28,school management software nepal,/services/school-management-system,Nepal,desktop,3,180,0.0167,9.7
2026-01-28,law firm management system nepal,/services/law-firm-management-system,Nepal,desktop,1,74,0.0135,13.6
2026-01-28,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,4,216,0.0185,7.1
2026-01-28,business website package nepal,/services/business-website,Nepal,mobile,2,144,0.0139,8.6
2026-01-28,online store development nepal,/services/ecommerce-store,Nepal,mobile,1,119,0.0084,12.0
