lead_id,lead_created_date,source_medium,default_channel_group,campaign_name,landing_page,service_interest,lead_status,is_mql,is_sql,became_customer,estimated_deal_value_usd,city,customer_type
DG1045,2026-01-04,google / cpc,Paid Search,google_brand_leads,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Lalitpur,Startup
DG1046,2026-01-04,google / cpc,Paid Search,google_brand_leads,/portfolio,Portfolio Follow-up,SQL,Yes,Yes,No,0,Bhaktapur,Retail Business
DG1047,2026-01-04,facebook / paid_social,Paid Social,fb_ecommerce_leads,/services/seo-digital-marketing,Digital Marketing,Working,No,No,No,0,Biratnagar,Startup
DG1048,2026-01-04,facebook / paid_social,Paid Social,fb_ecommerce_leads,/contact,General Website Inquiry,Working,No,No,No,0,Birgunj,Retail Business
DG1049,2026-01-04,newsletter / email,Email,monthly_newsletter,/services/business-website,Business Website,MQL,Yes,No,No,0,Butwal,Startup
DG1050,2026-01-04,(direct) / (none),Direct,direct_none,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Birgunj,Retail Business
DG1051,2026-01-05,google / organic,Organic Search,organic_non_brand,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Hetauda,Professional Services
DG1052,2026-01-05,google / organic,Organic Search,organic_non_brand,/contact,General Website Inquiry,Working,No,No,No,0,Bhaktapur,Educational Institution
DG1053,2026-01-05,google / organic,Organic Search,organic_non_brand,/,General Website Inquiry,Working,No,No,No,0,Lalitpur,Retail Business
DG1054,2026-01-05,google / organic,Organic Search,organic_non_brand,/portfolio,Portfolio Follow-up,MQL,Yes,No,No,0,Chitwan,Professional Services
DG1055,2026-01-05,google / organic,Organic Search,organic_non_brand,/blog/website-cost-nepal,Business Website,MQL,Yes,No,No,0,Pokhara,Professional Services
DG1056,2026-01-05,google / cpc,Paid Search,google_website_service_leads,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Biratnagar,Startup
DG1057,2026-01-05,google / cpc,Paid Search,google_website_service_leads,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Butwal,SME
DG1058,2026-01-05,google / cpc,Paid Search,google_website_service_leads,/,General Website Inquiry,MQL,Yes,No,No,0,Bhaktapur,Professional Services
DG1059,2026-01-05,facebook / paid_social,Paid Social,fb_remarketing_portfolio,/,General Website Inquiry,MQL,Yes,No,No,0,Hetauda,Retail Business
DG1060,2026-01-05,facebook / paid_social,Paid Social,fb_remarketing_portfolio,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Chitwan,Startup
DG1061,2026-01-05,facebook / paid_social,Paid Social,fb_remarketing_portfolio,/,General Website Inquiry,Working,No,No,No,0,Dharan,Startup
DG1062,2026-01-05,newsletter / email,Email,client_referral_nurture,/services/seo-digital-marketing,Digital Marketing,MQL,Yes,No,No,0,Pokhara,SME
DG1063,2026-01-05,newsletter / email,Email,client_referral_nurture,/services/business-website,Business Website,SQL,Yes,Yes,No,0,Hetauda,Educational Institution
DG1064,2026-01-05,newsletter / email,Email,client_referral_nurture,/,General Website Inquiry,MQL,Yes,No,No,0,Hetauda,Retail Business
DG1065,2026-01-05,newsletter / email,Email,client_referral_nurture,/,General Website Inquiry,Unqualified,No,No,No,0,Biratnagar,Educational Institution
DG1066,2026-01-05,(direct) / (none),Direct,direct_none,/services/law-firm-management-system,Law Firm Management System,MQL,Yes,No,No,0,Lalitpur,Retail Business
DG1067,2026-01-05,(direct) / (none),Direct,direct_none,/services/school-management-system,School Management System,SQL,Yes,Yes,No,0,Bhaktapur,Professional Services
DG1068,2026-01-05,(direct) / (none),Direct,direct_none,/contact,General Website Inquiry,Working,No,No,No,0,Bhaktapur,Startup
DG1069,2026-01-05,partner_sites / referral,Referral,agency_partner_backlinks,/,General Website Inquiry,MQL,Yes,No,No,0,Kathmandu,Educational Institution
DG1070,2026-01-06,google / organic,Organic Search,organic_non_brand,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Pokhara,Educational Institution
DG1071,2026-01-06,google / organic,Organic Search,organic_non_brand,/services/seo-digital-marketing,Digital Marketing,MQL,Yes,No,No,0,Hetauda,Educational Institution
DG1072,2026-01-06,google / organic,Organic Search,organic_non_brand,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Bhaktapur,Startup
DG1073,2026-01-06,google / organic,Organic Search,organic_non_brand,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Butwal,SME
DG1074,2026-01-06,google / cpc,Paid Search,google_ecommerce_leads,/services/ecommerce-store,Ecommerce Store,SQL,Yes,Yes,No,0,Birgunj,Retail Business
DG1075,2026-01-06,google / cpc,Paid Search,google_ecommerce_leads,/,General Website Inquiry,Working,No,No,No,0,Biratnagar,Retail Business
DG1076,2026-01-06,google / cpc,Paid Search,google_ecommerce_leads,/services/law-firm-management-system,Law Firm Management System,SQL,Yes,Yes,No,0,Hetauda,Professional Services
DG1077,2026-01-06,facebook / paid_social,Paid Social,fb_ecommerce_leads,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Biratnagar,Retail Business
DG1078,2026-01-06,facebook / paid_social,Paid Social,fb_ecommerce_leads,/services/business-website,Business Website,Working,No,No,No,0,Kathmandu,Retail Business
DG1079,2026-01-06,newsletter / email,Email,client_referral_nurture,/services/law-firm-management-system,Law Firm Management System,Working,No,No,No,0,Kathmandu,Retail Business
DG1080,2026-01-06,(direct) / (none),Direct,direct_none,/services/school-management-system,School Management System,Working,No,No,No,0,Pokhara,Startup
DG1081,2026-01-06,partner_sites / referral,Referral,agency_partner_backlinks,/services/business-website,Business Website,MQL,Yes,No,No,0,Biratnagar,SME
DG1082,2026-01-07,google / organic,Organic Search,organic_non_brand,/contact,General Website Inquiry,Working,No,No,No,0,Biratnagar,Retail Business
DG1083,2026-01-07,google / organic,Organic Search,organic_non_brand,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Bhaktapur,Educational Institution
DG1084,2026-01-07,google / organic,Organic Search,organic_non_brand,/services/business-website,Business Website,Working,No,No,No,0,Kathmandu,Professional Services
DG1085,2026-01-07,google / organic,Organic Search,organic_non_brand,/services/seo-digital-marketing,Digital Marketing,Working,No,No,No,0,Pokhara,SME
DG1086,2026-01-07,google / cpc,Paid Search,google_website_service_leads,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Pokhara,Startup
DG1087,2026-01-07,google / cpc,Paid Search,google_website_service_leads,/services/ecommerce-store,Ecommerce Store,SQL,Yes,Yes,No,0,Chitwan,SME
DG1088,2026-01-07,google / cpc,Paid Search,google_website_service_leads,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Birgunj,Educational Institution
DG1089,2026-01-07,facebook / paid_social,Paid Social,fb_ecommerce_leads,/contact,General Website Inquiry,Working,No,No,No,0,Chitwan,Startup
DG1090,2026-01-07,facebook / paid_social,Paid Social,fb_ecommerce_leads,/services/seo-digital-marketing,Digital Marketing,Working,No,No,No,0,Bhaktapur,Professional Services
DG1091,2026-01-07,newsletter / email,Email,monthly_newsletter,/services/business-website,Business Website,Working,No,No,No,0,Hetauda,Educational Institution
DG1092,2026-01-07,newsletter / email,Email,monthly_newsletter,/services/school-management-system,School Management System,Customer,Yes,Yes,Yes,758.29,Hetauda,Professional Services
DG1093,2026-01-07,(direct) / (none),Direct,direct_none,/portfolio,Portfolio Follow-up,MQL,Yes,No,No,0,Kathmandu,Retail Business
DG1094,2026-01-07,(direct) / (none),Direct,direct_none,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Biratnagar,SME
DG1095,2026-01-07,partner_sites / referral,Referral,agency_partner_backlinks,/,General Website Inquiry,MQL,Yes,No,No,0,Hetauda,SME
DG1096,2026-01-08,google / organic,Organic Search,seo_service_pages,/contact,General Website Inquiry,MQL,Yes,No,No,0,Butwal,Professional Services
DG1097,2026-01-08,google / organic,Organic Search,seo_service_pages,/services/business-website,Business Website,Working,No,No,No,0,Birgunj,SME
DG1098,2026-01-08,google / organic,Organic Search,seo_service_pages,/services/business-website,Business Website,Working,No,No,No,0,Dharan,Educational Institution
DG1099,2026-01-08,google / organic,Organic Search,seo_service_pages,/services/business-website,Business Website,MQL,Yes,No,No,0,Dharan,Retail Business
DG1100,2026-01-08,google / cpc,Paid Search,google_ecommerce_leads,/services/business-website,Business Website,Working,No,No,No,0,Birgunj,SME
DG1101,2026-01-08,google / cpc,Paid Search,google_ecommerce_leads,/services/seo-digital-marketing,Digital Marketing,MQL,Yes,No,No,0,Hetauda,Startup
DG1102,2026-01-08,google / cpc,Paid Search,google_ecommerce_leads,/contact,General Website Inquiry,MQL,Yes,No,No,0,Dharan,Educational Institution
DG1103,2026-01-08,facebook / paid_social,Paid Social,fb_business_website_awareness,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Bhaktapur,Educational Institution
DG1104,2026-01-08,facebook / paid_social,Paid Social,fb_business_website_awareness,/services/business-website,Business Website,Working,No,No,No,0,Biratnagar,Startup
DG1105,2026-01-08,newsletter / email,Email,client_referral_nurture,/services/seo-digital-marketing,Digital Marketing,MQL,Yes,No,No,0,Biratnagar,Retail Business
DG1106,2026-01-08,(direct) / (none),Direct,direct_none,/services/school-management-system,School Management System,Working,No,No,No,0,Lalitpur,Startup
DG1107,2026-01-08,(direct) / (none),Direct,direct_none,/services/law-firm-management-system,Law Firm Management System,Working,No,No,No,0,Birgunj,Startup
DG1108,2026-01-08,partner_sites / referral,Referral,directory_referrals,/services/seo-digital-marketing,Digital Marketing,Working,No,No,No,0,Biratnagar,Startup
DG1109,2026-01-09,google / organic,Organic Search,organic_non_brand,/blog/website-cost-nepal,Business Website,MQL,Yes,No,No,0,Lalitpur,Educational Institution
DG1110,2026-01-09,google / organic,Organic Search,organic_non_brand,/services/school-management-system,School Management System,Unqualified,No,No,No,0,Chitwan,SME
DG1111,2026-01-09,google / organic,Organic Search,organic_non_brand,/services/ecommerce-store,Ecommerce Store,SQL,Yes,Yes,No,0,Hetauda,Professional Services
DG1112,2026-01-09,google / organic,Organic Search,organic_non_brand,/,General Website Inquiry,Working,No,No,No,0,Biratnagar,SME
DG1113,2026-01-09,google / organic,Organic Search,organic_non_brand,/services/ecommerce-store,Ecommerce Store,SQL,Yes,Yes,No,0,Lalitpur,Educational Institution
DG1114,2026-01-09,google / cpc,Paid Search,google_ecommerce_leads,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Bhaktapur,Startup
DG1115,2026-01-09,google / cpc,Paid Search,google_ecommerce_leads,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Dharan,Educational Institution
DG1116,2026-01-09,google / cpc,Paid Search,google_ecommerce_leads,/services/school-management-system,School Management System,Unqualified,No,No,No,0,Biratnagar,Retail Business
DG1117,2026-01-09,facebook / paid_social,Paid Social,fb_remarketing_portfolio,/,General Website Inquiry,MQL,Yes,No,No,0,Birgunj,Professional Services
DG1118,2026-01-09,facebook / paid_social,Paid Social,fb_remarketing_portfolio,/services/business-website,Business Website,Working,No,No,No,0,Pokhara,Educational Institution
DG1119,2026-01-09,newsletter / email,Email,client_referral_nurture,/services/seo-digital-marketing,Digital Marketing,Working,No,No,No,0,Kathmandu,Educational Institution
DG1120,2026-01-09,(direct) / (none),Direct,direct_none,/services/business-website,Business Website,MQL,Yes,No,No,0,Pokhara,Professional Services
DG1121,2026-01-09,(direct) / (none),Direct,direct_none,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Lalitpur,Retail Business
DG1122,2026-01-09,partner_sites / referral,Referral,agency_partner_backlinks,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Birgunj,Professional Services
DG1123,2026-01-10,google / organic,Organic Search,organic_non_brand,/,General Website Inquiry,Unqualified,No,No,No,0,Pokhara,SME
DG1124,2026-01-10,google / organic,Organic Search,organic_non_brand,/services/business-website,Business Website,SQL,Yes,Yes,No,0,Dharan,Professional Services
DG1125,2026-01-10,google / organic,Organic Search,organic_non_brand,/blog/website-cost-nepal,Business Website,Unqualified,No,No,No,0,Biratnagar,SME
DG1126,2026-01-10,google / cpc,Paid Search,google_website_service_leads,/portfolio,Portfolio Follow-up,MQL,Yes,No,No,0,Hetauda,Startup
DG1127,2026-01-10,google / cpc,Paid Search,google_website_service_leads,/contact,General Website Inquiry,Working,No,No,No,0,Hetauda,Professional Services
DG1128,2026-01-10,google / cpc,Paid Search,google_website_service_leads,/services/business-website,Business Website,Working,No,No,No,0,Chitwan,SME
DG1129,2026-01-10,facebook / paid_social,Paid Social,fb_business_website_awareness,/,General Website Inquiry,Working,No,No,No,0,Dharan,Retail Business
DG1130,2026-01-10,facebook / paid_social,Paid Social,fb_business_website_awareness,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Bhaktapur,Startup
DG1131,2026-01-10,newsletter / email,Email,monthly_newsletter,/services/seo-digital-marketing,Digital Marketing,Working,No,No,No,0,Pokhara,Retail Business
DG1132,2026-01-10,(direct) / (none),Direct,direct_none,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Bhaktapur,SME
DG1133,2026-01-10,partner_sites / referral,Referral,agency_partner_backlinks,/services/school-management-system,School Management System,Unqualified,No,No,No,0,Butwal,Retail Business
DG1134,2026-01-11,google / organic,Organic Search,seo_service_pages,/services/business-website,Business Website,MQL,Yes,No,No,0,Biratnagar,Startup
DG1135,2026-01-11,google / organic,Organic Search,seo_service_pages,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Kathmandu,Professional Services
DG1136,2026-01-11,google / organic,Organic Search,seo_service_pages,/contact,General Website Inquiry,Unqualified,No,No,No,0,Chitwan,Educational Institution
DG1137,2026-01-11,google / organic,Organic Search,seo_service_pages,/services/business-website,Business Website,Working,No,No,No,0,Lalitpur,SME
DG1138,2026-01-11,google / cpc,Paid Search,google_ecommerce_leads,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Biratnagar,Retail Business
DG1139,2026-01-11,google / cpc,Paid Search,google_ecommerce_leads,/services/seo-digital-marketing,Digital Marketing,SQL,Yes,Yes,No,0,Dharan,Retail Business
DG1140,2026-01-11,google / cpc,Paid Search,google_ecommerce_leads,/blog/website-cost-nepal,Business Website,Working,No,No,No,0,Bhaktapur,Startup
DG1141,2026-01-11,facebook / paid_social,Paid Social,fb_remarketing_portfolio,/,General Website Inquiry,Working,No,No,No,0,Kathmandu,SME
DG1142,2026-01-11,facebook / paid_social,Paid Social,fb_remarketing_portfolio,/services/business-website,Business Website,Working,No,No,No,0,Pokhara,Startup
DG1143,2026-01-11,newsletter / email,Email,monthly_newsletter,/services/school-management-system,School Management System,MQL,Yes,No,No,0,Hetauda,Professional Services
DG1144,2026-01-11,(direct) / (none),Direct,direct_none,/,General Website Inquiry,MQL,Yes,No,No,0,Bhaktapur,Professional Services
DG1145,2026-01-11,partner_sites / referral,Referral,directory_referrals,/,General Website Inquiry,Working,No,No,No,0,Lalitpur,Educational Institution
DG1146,2026-01-12,google / organic,Organic Search,seo_service_pages,/services/school-management-system,School Management System,Working,No,No,No,0,Dharan,Educational Institution
DG1147,2026-01-12,google / organic,Organic Search,seo_service_pages,/services/business-website,Business Website,MQL,Yes,No,No,0,Kathmandu,Educational Institution
DG1148,2026-01-12,google / organic,Organic Search,seo_service_pages,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Lalitpur,Startup
DG1149,2026-01-12,google / organic,Organic Search,seo_service_pages,/portfolio,Portfolio Follow-up,Unqualified,No,No,No,0,Bhaktapur,SME
DG1150,2026-01-12,google / organic,Organic Search,seo_service_pages,/services/business-website,Business Website,Working,No,No,No,0,Chitwan,Startup
DG1151,2026-01-12,google / cpc,Paid Search,google_ecommerce_leads,/,General Website Inquiry,MQL,Yes,No,No,0,Biratnagar,Professional Services
DG1152,2026-01-12,google / cpc,Paid Search,google_ecommerce_leads,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Lalitpur,SME
DG1153,2026-01-12,google / cpc,Paid Search,google_ecommerce_leads,/services/school-management-system,School Management System,MQL,Yes,No,No,0,Bhaktapur,Startup
DG1154,2026-01-12,facebook / paid_social,Paid Social,fb_remarketing_portfolio,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Biratnagar,Educational Institution
DG1155,2026-01-12,facebook / paid_social,Paid Social,fb_remarketing_portfolio,/services/seo-digital-marketing,Digital Marketing,Working,No,No,No,0,Bhaktapur,Professional Services
DG1156,2026-01-12,newsletter / email,Email,client_referral_nurture,/services/ecommerce-store,Ecommerce Store,SQL,Yes,Yes,No,0,Birgunj,Retail Business
DG1157,2026-01-12,(direct) / (none),Direct,direct_none,/blog/website-cost-nepal,Business Website,Working,No,No,No,0,Birgunj,Startup
DG1158,2026-01-12,(direct) / (none),Direct,direct_none,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Biratnagar,SME
DG1159,2026-01-12,partner_sites / referral,Referral,agency_partner_backlinks,/contact,General Website Inquiry,MQL,Yes,No,No,0,Bhaktapur,Retail Business
DG1160,2026-01-13,google / organic,Organic Search,organic_non_brand,/blog/website-cost-nepal,Business Website,MQL,Yes,No,No,0,Lalitpur,Professional Services
DG1161,2026-01-13,google / organic,Organic Search,organic_non_brand,/services/business-website,Business Website,Unqualified,No,No,No,0,Hetauda,Educational Institution
DG1162,2026-01-13,google / organic,Organic Search,organic_non_brand,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Chitwan,SME
DG1163,2026-01-13,google / organic,Organic Search,organic_non_brand,/services/business-website,Business Website,SQL,Yes,Yes,No,0,Hetauda,Retail Business
DG1164,2026-01-13,google / organic,Organic Search,organic_non_brand,/,General Website Inquiry,MQL,Yes,No,No,0,Pokhara,Professional Services
DG1165,2026-01-13,google / cpc,Paid Search,google_website_service_leads,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Biratnagar,Startup
DG1166,2026-01-13,google / cpc,Paid Search,google_website_service_leads,/services/law-firm-management-system,Law Firm Management System,MQL,Yes,No,No,0,Butwal,Startup
DG1167,2026-01-13,google / cpc,Paid Search,google_website_service_leads,/,General Website Inquiry,MQL,Yes,No,No,0,Hetauda,Startup
DG1168,2026-01-13,facebook / paid_social,Paid Social,fb_ecommerce_leads,/services/business-website,Business Website,Working,No,No,No,0,Biratnagar,Educational Institution
DG1169,2026-01-13,facebook / paid_social,Paid Social,fb_ecommerce_leads,/,General Website Inquiry,Working,No,No,No,0,Birgunj,Startup
DG1170,2026-01-13,newsletter / email,Email,monthly_newsletter,/services/school-management-system,School Management System,MQL,Yes,No,No,0,Lalitpur,Educational Institution
DG1171,2026-01-13,(direct) / (none),Direct,direct_none,/,General Website Inquiry,Working,No,No,No,0,Biratnagar,Startup
DG1172,2026-01-13,partner_sites / referral,Referral,directory_referrals,/,General Website Inquiry,MQL,Yes,No,No,0,Hetauda,Educational Institution
DG1173,2026-01-14,google / organic,Organic Search,seo_service_pages,/services/school-management-system,School Management System,MQL,Yes,No,No,0,Dharan,Professional Services
DG1174,2026-01-14,google / organic,Organic Search,seo_service_pages,/services/business-website,Business Website,Working,No,No,No,0,Birgunj,Startup
DG1175,2026-01-14,google / organic,Organic Search,seo_service_pages,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Lalitpur,Educational Institution
DG1176,2026-01-14,google / organic,Organic Search,seo_service_pages,/services/seo-digital-marketing,Digital Marketing,Working,No,No,No,0,Kathmandu,Startup
DG1177,2026-01-14,google / organic,Organic Search,seo_service_pages,/services/seo-digital-marketing,Digital Marketing,SQL,Yes,Yes,No,0,Butwal,Startup
DG1178,2026-01-14,google / cpc,Paid Search,google_brand_leads,/services/business-website,Business Website,Working,No,No,No,0,Butwal,Retail Business
DG1179,2026-01-14,google / cpc,Paid Search,google_brand_leads,/services/business-website,Business Website,Working,No,No,No,0,Biratnagar,Retail Business
DG1180,2026-01-14,google / cpc,Paid Search,google_brand_leads,/services/law-firm-management-system,Law Firm Management System,MQL,Yes,No,No,0,Hetauda,Professional Services
DG1181,2026-01-14,facebook / paid_social,Paid Social,fb_business_website_awareness,/services/business-website,Business Website,Working,No,No,No,0,Lalitpur,SME
DG1182,2026-01-14,facebook / paid_social,Paid Social,fb_business_website_awareness,/services/ecommerce-store,Ecommerce Store,Unqualified,No,No,No,0,Pokhara,Retail Business
DG1183,2026-01-14,facebook / paid_social,Paid Social,fb_business_website_awareness,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Kathmandu,SME
DG1184,2026-01-14,newsletter / email,Email,monthly_newsletter,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Birgunj,Professional Services
DG1185,2026-01-14,newsletter / email,Email,monthly_newsletter,/,General Website Inquiry,SQL,Yes,Yes,No,0,Biratnagar,Professional Services
DG1186,2026-01-14,(direct) / (none),Direct,direct_none,/services/school-management-system,School Management System,Working,No,No,No,0,Bhaktapur,Professional Services
DG1187,2026-01-14,(direct) / (none),Direct,direct_none,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Hetauda,Educational Institution
DG1188,2026-01-14,partner_sites / referral,Referral,directory_referrals,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Kathmandu,Educational Institution
